crop_name,Water Req.,Water Requirement (L/ha),flood_area,Drip / Sprinkler,sensor,total_water_reqd,Season Type,Sowing Period,Harvesting Period,crop_duration,daily_water_req(mm),industrial_requirement(ML),domestic_requirement(ML)
Rice,1250,"1250 mm (125,000 L/ha)",15,10,5,293750,Kharif,June - July,October - November,120,10.41666667,,
Wheat,550,"550 mm (55,000 L/ha)",12,8,5,106150,Rabi,November - December,March - April,120,4.583333333,,
Maize,650,"650 mm (65,000 L/ha)",15,28,4,219700,Kharif,April - May,June - July,100,6.5,,
Cotton,1000,"1000 mm (100,000 L/ha)",20,12,7,307000,Kharif,May - June,October - November,150,6.666666667,,
Sugarcane,2000,"2000 mm (200,000 L/ha)",26,14,10,788000,Perennial,January - March,December - January,350,5.714285714,,
Sorghum,550,"550 mm (55,000 L/ha)",20,10,5,156750,Kharif,June - July,September - October,100,5.5,,
Millets,450,"450 mm (45,000 L/ha)",12,21,15,144450,Kharif,June - July,September - October,90,5,,
Pulses,350,"300-400 mm (30,000-40,000 L/ha)",21,16,21,143850,Rabi,August - September,October - December,70,5,,
Oilseeds,750,"750 mm (75,000 L/ha)",25,20,15,333750,Rabi,October - November,March - April,90,8.333333333,,
Vegetables,550,"550 mm (55,000 L/ha)",14,7,3,108350,Kharif,March - April,June - July,60,9.166666667,,
Fruits,800,"800 mm (80,000 L/ha)",20,15,6,256000,Perennial,January - February,September - October,180,4.444444444,,
Guava,650,"650 mm (65,000 L/ha)",30,25,15,341250,Perennial,February - March,September - October,150,4.333333333,,
Papaya,650,"650 mm (65,000 L/ha)",25,20,15,289250,Perennial,March - April,November - December,120,5.416666667,,
Litchi,1250,"1250 mm (125,000 L/ha)",30,25,20,687500,Perennial,January - February,August - September,180,6.944444444,,
Grapes,1000,"1000 mm (100,000 L/ha)",15,10,5,235000,Perennial,February - March,September - October,150,6.666666667,,
Ginger,1000,"1000 mm (100,000 L/ha)",16,8,4,228000,Kharif,April - May,September - October,120,8.333333333,,
Turmeric,500,"500 mm (50,000 L/ha)",28,20,10,225000,Kharif,April - May,September - October,150,3.333333333,,
Chilli,400,"400 mm (40,000 L/ha)",22,15,8,140000,Kharif,February - March,June - July,100,4,,
Coriander,400,"400 mm (40,000 L/ha)",25,20,15,178000,Kharif,October - November,January - February,90,4.444444444,,
Fennel,400,"400 mm (40,000 L/ha)",15,10,5,94000,Rabi,November - December,February - March,90,4.444444444,,
Cumin,400,"400 mm (40,000 L/ha)",18,14,7,119600,Rabi,October - November,February - March,90,4.444444444,,
Mustard,400,"400 mm (40,000 L/ha)",24,12,6,136800,Kharif,May - June,September - October,100,4,,
Sesame,400,"400 mm (40,000 L/ha)",32,15,7,178000,Rabi,October - November,January - February,120,3.333333333,,
Fenugreek,650,"650 mm (65,000 L/ha)",16,7,4,144300,Rabi,March - April,June - July,150,4.333333333,,
Moringa,400,"400 mm (40,000 L/ha)",19,12,6,116800,Perennial,March - April,September - October,150,2.666666667,,
